CarCompany,URL Image,Model,Price,Country of Origin,Class,Body,Style,Engine,Gearbox,Power (hp),Torque (Nm),Fuel Econ (L/100km),Fuel Econ (km/L),0-100 kph (sec),Top speed (kph)
ABARTH,https://www.drivearabia.com/carprices/media/catalog/5aeec9c0776efabarth_595_front.jpg,Abarth 595 Competizione,130000,Italy,Mini Hatchback,3-door,hatchback,1.4TC I4 FWD,5A,180,250,6,16.7,6.9,225
ABARTH,https://www.drivearabia.com/carprices/media/catalog/5aeec9c0776efabarth_595_front.jpg,Abarth 595 Competizione,130000,Italy,Mini Hatchback,3-door,hatchback,1.4TC I4 FWD,5A,180,250,6,16.7,6.9,225
ABARTH,https://www.drivearabia.com/carprices/media/catalog/5aeec9c0776efabarth_595_front.jpg,Abarth 595 Competizione,130000,Italy,Mini Hatchback,3-door,hatchback,1.4TC I4 FWD,5A,180,250,6,16.7,6.9,225
ABARTH,https://www.drivearabia.com/carprices/media/catalog/5aeec9c0776efabarth_595_front.jpg,Abarth 595 Competizione,130000,Italy,Mini Hatchback,3-door,hatchback,1.4TC I4 FWD,5A,180,250,6,16.7,6.9,225
ABARTH,https://www.drivearabia.com/carprices/media/catalog/5ff2b46a39648abarth_695_70deg_anniversario_front.jpg,Abarth 695,130000,Italy,Mini Hatchback,3-door,hatchback,1.4TC I4 FWD,5AM,180,250,6,16.7,6.9,225
ABARTH,https://www.drivearabia.com/carprices/media/catalog/5aef1a77ab469abarth_695_rivale_front.jpg,Abarth 695,130000,Italy,Mini Hatchback,3-door,hatchback,1.4TC I4 FWD,5AM,180,250,6,16.7,6.9,225
ABARTH,https://www.drivearabia.com/carprices/media/catalog/5aef1a77ab469abarth_695_rivale_front.jpg,Abarth 695,130000,Italy,Mini Hatchback,3-door,hatchback,1.4TC I4 FWD,5AM,180,250,6,16.7,6.9,225
ACURA,https://www.drivearabia.com/carprices/media/catalog/5a437648a20c6Acura_MDX_2017_front.jpg,Acura MDX,130000,United States,Luxury Midsize SUV,5-door,wagon,3.5 V6 4WD,6A,290,355,9.3,10.8,7.6,209
ACURA,https://www.drivearabia.com/carprices/media/catalog/5a437648a20c6Acura_MDX_2017_front.jpg,Acura MDX,130000,United States,Luxury Midsize SUV,5-door,wagon,3.5 V6 4WD,6A,290,355,9.3,10.8,7.6,209
ACURA,https://www.drivearabia.com/carprices/media/catalog/5a437648a20c6Acura_MDX_2017_front.jpg,Acura MDX,130000,United States,Luxury Midsize SUV,5-door,wagon,3.5 V6 4WD,6A,290,355,9.3,10.8,7.6,209
ACURA,https://www.drivearabia.com/carprices/media/catalog/5b18fa6f9be67Acura_NSX_2018_front.jpg,Acura NSX,130000,United States,Luxury Sports Coupe,2-door,coupe,3.5TC+H V6 4WD,9AM,573,645,9.6,10.4,3.1,307
ACURA,https://www.drivearabia.com/carprices/media/catalog/5b18fa6f9be67Acura_NSX_2018_front.jpg,Acura NSX,130000,United States,Luxury Sports Coupe,2-door,coupe,3.5TC+H V6 4WD,9AM,573,645,9.6,10.4,3.1,307
ACURA,https://www.drivearabia.com/carprices/media/catalog/5b18fa6f9be67Acura_NSX_2018_front.jpg,Acura NSX,130000,United States,Luxury Sports Coupe,2-door,coupe,3.5TC+H V6 4WD,9AM,573,645,9.6,10.4,3.1,307
ACURA,https://www.drivearabia.com/carprices/media/catalog/5f4ba46cf10d2Acura_RDX_2020_front.jpg,Acura RDX,130000,United States,Premium Compact SUV,5-door,wagon,3.5 V6 4WD,6A,279,342,10.1,9.9,6.7,216
ACURA,https://www.drivearabia.com/carprices/media/catalog/5a4375686fa66Acura_TLX_2018_front.jpg,Acura TLX,130000,United States,Luxury Midsize Sedan,4-door,sedan,2.4 I4 FWD,8A,206,247,8.3,12,8.1,210
ACURA,https://www.drivearabia.com/carprices/media/catalog/5a4375686fa66Acura_TLX_2018_front.jpg,Acura TLX,130000,United States,Luxury Midsize Sedan,4-door,sedan,2.4 I4 FWD,8A,206,247,8.3,12,8.1,210
ACURA,https://www.drivearabia.com/carprices/media/catalog/5a4375686fa66Acura_TLX_2018_front.jpg,Acura TLX,130000,United States,Luxury Midsize Sedan,4-door,sedan,2.4 I4 FWD,8A,206,247,8.3,12,8.1,210
ALFA ROMEO,https://www.drivearabia.com/carprices/media/catalog/574dfc75d43492017_AlfaRomeoGiulia_front.jpg,Alfa Romeo Giulia,130000,Italy,Premium Compact Sedan,4-door,sedan,2.0TC I4 RWD,8A,200,330,5.9,16.9,6.6,230
ALFA ROMEO,https://www.drivearabia.com/carprices/media/catalog/574dfc75d43492017_AlfaRomeoGiulia_front.jpg,Alfa Romeo Giulia,130000,Italy,Premium Compact Sedan,4-door,sedan,2.0TC I4 RWD,8A,200,330,5.9,16.9,6.6,230
ALFA ROMEO,https://www.drivearabia.com/carprices/media/catalog/5c4babb41fef92019_Alfa_Romeo_Giulia_front.jpg,Alfa Romeo Giulia,140000,Italy,Premium Compact Sedan,4-door,sedan,2.0TC I4 RWD,8A,200,330,5.9,16.9,6.6,230
ALFA ROMEO,https://www.drivearabia.com/carprices/media/catalog/59514e88e6ce32017_Alfa_Romeo_Giulia_Quadrifoglio_231_626x382.jpg,Alfa Romeo Giulia Quadrifoglio,350000,Italy,Premium Compact Sedan,4-door,sedan,2.9TC V6 RWD,8A,505,600,8.5,11.8,3.9,307
ALFA ROMEO,https://www.drivearabia.com/carprices/media/catalog/59514e88e6ce32017_Alfa_Romeo_Giulia_Quadrifoglio_231_626x382.jpg,Alfa Romeo Giulia Quadrifoglio,350000,Italy,Premium Compact Sedan,4-door,sedan,2.9TC V6 RWD,8A,505,600,8.5,11.8,3.9,307
ALFA ROMEO,https://www.drivearabia.com/carprices/media/catalog/59514e88e6ce32017_Alfa_Romeo_Giulia_Quadrifoglio_231_626x382.jpg,Alfa Romeo Giulia Quadrifoglio,360000,Italy,Premium Compact Sedan,4-door,sedan,2.9TC V6 RWD,8A,505,600,8.5,11.8,3.9,307
ALFA ROMEO,https://www.drivearabia.com/carprices/media/catalog/5b16963e0fcc4Alfa_Romeo_Giulietta_2017_front.jpg,Alfa Romeo Giulietta,99000,Italy,Premium Compact Hatchback,5-door,hatchback,1.8TC I4 4WD,6AM,235,340,9.8,10.2,6,244
ALFA ROMEO,https://www.drivearabia.com/carprices/media/catalog/5b16963e0fcc4Alfa_Romeo_Giulietta_2017_front.jpg,Alfa Romeo Giulietta,99000,Italy,Premium Compact Hatchback,5-door,hatchback,1.8TC I4 4WD,6AM,235,340,9.8,10.2,6,244
ALFA ROMEO,https://www.drivearabia.com/carprices/media/catalog/5c4baab73e8ca2019_Alfa_Romeo_Giulietta_front.jpg,Alfa Romeo Giulietta,116000,Italy,Premium Compact Hatchback,5-door,hatchback,1.8TC I4 4WD,6AM,235,340,9.8,10.2,6,244
ALFA ROMEO,https://www.drivearabia.com/carprices/media/catalog/59526b4161d39stelviofront.jpg,Alfa Romeo Stelvio,179000,Italy,Premium Compact SUV,5-door,wagon,2.0TC I4 4WD,8A,280,400,7.8,12.8,5.7,230
ALFA ROMEO,https://www.drivearabia.com/carprices/media/catalog/59526b4161d39stelviofront.jpg,Alfa Romeo Stelvio,179000,Italy,Premium Compact SUV,5-door,wagon,2.0TC I4 4WD,8A,280,400,7.8,12.8,5.7,230
ALFA ROMEO,https://www.drivearabia.com/carprices/media/catalog/59526b4161d39stelviofront.jpg,Alfa Romeo Stelvio,211000,Italy,Premium Compact SUV,5-door,wagon,2.0TC I4 4WD,8A,280,400,7.8,12.8,5.7,230
ALFA ROMEO,https://www.drivearabia.com/carprices/media/catalog/5a37baad70f48alfa_romeo_stelvio_front.jpg,Alfa Romeo Stelvio Quadrifoglio,390000,Italy,Premium Compact SUV,5-door,wagon,2.9TC V6 4WD,8A,503,600,9,11.1,3.8,283
ALFA ROMEO,https://www.drivearabia.com/carprices/media/catalog/5a37baad70f48alfa_romeo_stelvio_front.jpg,Alfa Romeo Stelvio Quadrifoglio,390000,Italy,Premium Compact SUV,5-door,wagon,2.9TC V6 4WD,8A,503,600,9,11.1,3.8,283
ALFA ROMEO,https://www.drivearabia.com/carprices/media/catalog/5a37baad70f48alfa_romeo_stelvio_front.jpg,Alfa Romeo Stelvio Quadrifoglio,400000,Italy,Premium Compact SUV,5-door,wagon,2.9TC V6 4WD,8A,503,600,9,11.1,3.8,283
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/587de8a4dbfc5Aston_Martin_DB11_2017_front.jpg,Aston Martin DB11,800000,United Kingdom,Luxury Sports Coupe,2-door,coupe,4.0TC V8 RWD,8A,510,675,9.9,10.1,3.9,300
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/587de8a4dbfc5Aston_Martin_DB11_2017_front.jpg,Aston Martin DB11,800000,United Kingdom,Luxury Sports Coupe,2-door,coupe,4.0TC V8 RWD,8A,510,675,9.9,10.1,3.9,300
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/587de8a4dbfc5Aston_Martin_DB11_2017_front.jpg,Aston Martin DB11,800000,United Kingdom,Luxury Sports Coupe,2-door,coupe,4.0TC V8 RWD,8A,510,675,9.9,10.1,3.9,300
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/5a37c84e1c6b42018_aston_martin_db11_volante_1.jpg,Aston Martin DB11 Volante,850000,United Kingdom,Luxury Sports Convertible,2-door,convertible,4.0TC V8 RWD,8A,510,675,10,10,4.1,300
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/5a37c84e1c6b42018_aston_martin_db11_volante_1.jpg,Aston Martin DB11 Volante,850000,United Kingdom,Luxury Sports Convertible,2-door,convertible,4.0TC V8 RWD,8A,510,675,10,10,4.1,300
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/5c124761df7a1Aston_Martin_DBS_Superleggera_Xenon_Grey_2019_front.jpg,Aston Martin DBS,1200000,United Kingdom,Luxury Sports Coupe,2-door,coupe,5.2TC V12 RWD,8A,715,900,11.9,8.4,3.4,340
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/5c124761df7a1Aston_Martin_DBS_Superleggera_Xenon_Grey_2019_front.jpg,Aston Martin DBS,1200000,United Kingdom,Luxury Sports Coupe,2-door,coupe,5.2TC V12 RWD,8A,715,900,11.9,8.4,3.4,340
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/5c124761df7a1Aston_Martin_DBS_Superleggera_Xenon_Grey_2019_front.jpg,Aston Martin DBS,1200000,United Kingdom,Luxury Sports Coupe,2-door,coupe,5.2TC V12 RWD,8A,715,900,11.9,8.4,3.4,340
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/5e4cdabaaa589Aston_Martin_DBX_2021_front.jpg,Aston Martin DBX,920000,United Kingdom,Luxury Midsize SUV,5-door,wagon,4.0TC V8 4WD,9A,542,700,10.3,9.7,4.5,291
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/5e4cdabaaa589Aston_Martin_DBX_2021_front.jpg,Aston Martin DBX,848000,United Kingdom,Luxury Midsize SUV,5-door,wagon,4.0TC V8 4WD,9A,542,700,10.3,9.7,4.5,291
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/5caf093f5854aAston_Martin_Rapide_S_front.jpg,Aston Martin Rapide,941000,United Kingdom,Luxury Large Sedan,4-door,sedan,6.0 V12 RWD,8A,552,620,12.9,7.8,4.4,327
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/5caf093f5854aAston_Martin_Rapide_S_front.jpg,Aston Martin Rapide,941000,United Kingdom,Luxury Large Sedan,4-door,sedan,6.0 V12 RWD,8A,552,620,12.9,7.8,4.4,327
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/5caf093f5854aAston_Martin_Rapide_S_front.jpg,Aston Martin Rapide,941000,United Kingdom,Luxury Large Sedan,4-door,sedan,6.0 V12 RWD,8A,552,620,12.9,7.8,4.4,327
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/5a5737432b4312018_Aston_Martin_Vantage_frnot.jpg,Aston Martin V8 Vantage,600000,United Kingdom,Luxury Sports Coupe,2-door,coupe,4.0TC V8 RWD,8A,503,685,9.4,10.6,3.6,314
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/5a5737432b4312018_Aston_Martin_Vantage_frnot.jpg,Aston Martin V8 Vantage,600000,United Kingdom,Luxury Sports Coupe,2-door,coupe,4.0TC V8 RWD,8A,503,685,9.4,10.6,3.6,314
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/1011170543/astonmartinv8vantage-1.jpg,Aston Martin V8 Vantage,505000,United Kingdom,Premium Sports Coupe,2-door,coupe,4.7 V8 RWD,6M/7AM,420,470,13.5,7.8,4.9,290
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/54a40486c703bAston_Martin_Vanquish_2015_front.jpg,Aston Martin Vanquish,1231500,United Kingdom,Luxury Sports Coupe,2-door,coupe,6.0 V12 RWD,8A,595,630,13.1,7.6,3.5,324
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/54a40486c703bAston_Martin_Vanquish_2015_front.jpg,Aston Martin Vanquish,1231500,United Kingdom,Luxury Sports Coupe,2-door,coupe,6.0 V12 RWD,8A,595,630,13.1,7.6,3.5,324
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/54a40486c703bAston_Martin_Vanquish_2015_front.jpg,Aston Martin Vanquish,1185000,United Kingdom,Luxury Sports Coupe,2-door,coupe,6.0 V12 RWD,8A,568,630,12.8,7.8,3.8,295
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/5a37d4e943976aston_martin_vanquish_volante_1.jpg,Aston Martin Vanquish Volante,1250000,United Kingdom,Luxury Sports Convertible,2-door,convertible,6.0 V12 RWD,8A,595,630,13.1,7.6,3.7,295
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/5a37d4e943976aston_martin_vanquish_volante_1.jpg,Aston Martin Vanquish Volante,1250000,United Kingdom,Luxury Sports Convertible,2-door,convertible,6.0 V12 RWD,8A,568,630,13.1,7.6,4,295
ASTON MARTIN,https://www.drivearabia.com/carprices/media/catalog/5a37d4e943976aston_martin_vanquish_volante_1.jpg,Aston Martin Vanquish Volante,1250000,United Kingdom,Luxury Sports Convertible,2-door,convertible,6.0 V12 RWD,8A,568,630,13.1,7.6,4,295
AUDI,https://www.drivearabia.com/carprices/media/catalog/5f2ad970865aeAudi_A3_Sedan_2021_front_dubai_uae.jpg,Audi A3 Sedan,93900,Germany,Premium Sub-Compact Sedan,4-door,sedan,1.0TC I3 FWD,7AM,110,200,5,20,9.3,211
AUDI,https://www.drivearabia.com/carprices/media/catalog/52fc01c73e53b2.44110645/Audi-A3_Sedan_2014_front.jpg,Audi A3 Sedan,93900,Germany,Premium Sub-Compact Sedan,4-door,sedan,1.4TC I4 FWD,7A,120,200,5,20,9.3,211
AUDI,https://www.drivearabia.com/carprices/media/catalog/52fc01c73e53b2.44110645/Audi-A3_Sedan_2014_front.jpg,Audi A3 Sedan,93900,Germany,Premium Sub-Compact Sedan,4-door,sedan,1.4TC I4 FWD,7A,120,200,5,20,9.3,211
AUDI,https://www.drivearabia.com/carprices/media/catalog/5d37037da5336audi_a4_2020_1.jpg,Audi A4,164325,Germany,Premium Compact Sedan,4-door,sedan,2.0TC I4 FWD,7A,150,250,5.5,18.2,8.9,225
AUDI,https://www.drivearabia.com/carprices/media/catalog/5d37037da5336audi_a4_2020_1.jpg,Audi A4,164325,Germany,Premium Compact Sedan,4-door,sedan,2.0TC I4 FWD,7A,150,250,5.5,18.2,8.9,225
AUDI,https://www.drivearabia.com/carprices/media/catalog/567a6d338cde92016_audi_a4_sedan_front.jpg,Audi A4,138000,Germany,Premium Compact Sedan,4-door,sedan,1.4TC I4 FWD,7A,150,250,5.2,19.2,8.7,210
AUDI,https://www.drivearabia.com/carprices/media/catalog/58abec521046eAudi_A5_Cabriolet_2017_front.jpg,Audi A5 Cabriolet,196000,Germany,Premium Compact Convertible,2-door,convertible,2.0TC I4 FWD,8A,190,320,5.1,19.6,7.3,250
AUDI,https://www.drivearabia.com/carprices/media/catalog/58abec521046eAudi_A5_Cabriolet_2017_front.jpg,Audi A5 Cabriolet,196000,Germany,Premium Compact Convertible,2-door,convertible,2.0TC I4 FWD,8A,190,320,5.1,19.6,7.3,250
AUDI,https://www.drivearabia.com/carprices/media/catalog/58abec521046eAudi_A5_Cabriolet_2017_front.jpg,Audi A5 Cabriolet,196000,Germany,Premium Compact Convertible,2-door,convertible,2.0TC I4 FWD,8A,190,320,5.1,19.6,7.3,250
AUDI,https://www.drivearabia.com/carprices/media/catalog/5d942ecc069e3Audi_A5_Coupe_2020_front.jpg,Audi A5,188000,Germany,Premium Compact Coupe,2-door,coupe,2.0TC I4 FWD,8A,190,320,5.1,19.6,7.3,241
AUDI,https://www.drivearabia.com/carprices/media/catalog/5d942ecc069e3Audi_A5_Coupe_2020_front.jpg,Audi A5,188000,Germany,Premium Compact Coupe,2-door,coupe,2.0TC I4 FWD,8A,190,320,5.1,19.6,7.3,241
AUDI,https://www.drivearabia.com/carprices/media/catalog/578df2a59daccAudi_A5_Coupe_2017_front.jpg,Audi A5,188000,Germany,Premium Compact Coupe,2-door,coupe,2.0TC I4 FWD,8A,190,320,5.1,19.6,7.3,241
AUDI,https://www.drivearabia.com/carprices/media/catalog/5ebfd8f646c60Audi_A5_Sportback_2020_front_dubai_uae.jpg,Audi A5 Sportback,187600,Germany,Premium Compact Liftback,5-door,liftback,2.0TC I4 FWD,8A,190,320,5.1,19.6,7.3,250
AUDI,https://www.drivearabia.com/carprices/media/catalog/5ebfd8f646c60Audi_A5_Sportback_2020_front_dubai_uae.jpg,Audi A5 Sportback,187600,Germany,Premium Compact Liftback,5-door,liftback,2.0TC I4 FWD,8A,190,320,5.1,19.6,7.3,250
AUDI,https://www.drivearabia.com/carprices/media/catalog/58aad83e1d501Audi_A5_Sportback_2017_front.jpg,Audi A5 Sportback,187600,Germany,Premium Compact Liftback,5-door,liftback,2.0TC I4 FWD,8A,190,320,5.1,19.6,7.3,250
AUDI,https://www.drivearabia.com/carprices/media/catalog/5af974a66601dAudi_A6_2019_front.jpg,Audi A6,258000,Germany,Luxury Midsize Sedan,4-door,sedan,2.0TC+H I4 FWD,7A,188,370,6.3,15.9,7.9,240
AUDI,https://www.drivearabia.com/carprices/media/catalog/5af974a66601dAudi_A6_2019_front.jpg,Audi A6,258000,Germany,Luxury Midsize Sedan,4-door,sedan,2.0TC+H I4 FWD,7A,188,370,6.3,15.9,7.9,240
AUDI,https://www.drivearabia.com/carprices/media/catalog/5af974a66601dAudi_A6_2019_front.jpg,Audi A6,258000,Germany,Luxury Midsize Sedan,4-door,sedan,3.0SC V6 4WD,9A,350,500,7.2,,5.1,250
AUDI,https://www.drivearabia.com/carprices/media/catalog/5ed3802d6dad8Audi_A7_Sportback_2019_front.jpg,Audi A7,390600,Germany,Luxury Midsize Liftback,5-door,liftback,3.0TC V6 4WD,7A,340,500,7.2,13.9,5.3,250
AUDI,https://www.drivearabia.com/carprices/media/catalog/5ed3802d6dad8Audi_A7_Sportback_2019_front.jpg,Audi A7,390600,Germany,Luxury Midsize Liftback,5-door,liftback,3.0TC V6 4WD,7A,340,500,7.2,13.9,5.3,250
AUDI,https://www.drivearabia.com/carprices/media/catalog/5ed3802d6dad8Audi_A7_Sportback_2019_front.jpg,Audi A7,390600,Germany,Luxury Midsize Liftback,5-door,liftback,3.0TC V6 4WD,7A,340,500,7.2,13.9,5.3,250
AUDI,https://www.drivearabia.com/carprices/media/catalog/5a3f9609d0568Audi_A8_2018_front.jpg,Audi A8,357000,Germany,Luxury Large Sedan,4-door,sedan,3.0TC V6 4WD,8A,340,500,7.8,12.8,5.6,250
AUDI,https://www.drivearabia.com/carprices/media/catalog/5a3f9609d0568Audi_A8_2018_front.jpg,Audi A8,357000,Germany,Luxury Large Sedan,4-door,sedan,3.0TC V6 4WD,8A,340,500,7.8,12.8,5.6,250
AUDI,https://www.drivearabia.com/carprices/media/catalog/5a3f9609d0568Audi_A8_2018_front.jpg,Audi A8,357000,Germany,Luxury Large Sedan,4-door,sedan,3.0TC V6 4WD,8A,340,500,7.8,12.8,5.6,250
AUDI,https://www.drivearabia.com/carprices/media/catalog/5c28e58402b92Audi_Etron_1.JPG,Audi E-Tron,450000,Belgium,Premium Compact SUV,5-door,wagon,95 kWh 4WD,1A,402,664,7.8,-,4.6,210
AUDI,https://www.drivearabia.com/carprices/media/catalog/5c28e58402b92Audi_Etron_1.JPG,Audi E-Tron,450000,Belgium,Premium Compact SUV,5-door,wagon,95 kWh 4WD,1A,402,664,7.8,-,4.6,210
AUDI,https://www.drivearabia.com/carprices/media/catalog/5f71b240ca77dAudi_e_tron_Sportback_2021_front_dubai_uae.jpg,Audi E-Tron Sportback,457000,Belgium,Premium Compact SUV,5-door,wagon,95 kWh 4WD,1A,402,664,7.8,-,5.7,210
AUDI,https://www.drivearabia.com/carprices/media/catalog/5e142e0874277Audi_Q3_2020_front.jpg,Audi Q3,145000,Spain,Premium Compact SUV,5-door,wagon,1.4TC I4 FWD,7A,150,250,6.2,16.1,8.9,200
AUDI,https://www.drivearabia.com/carprices/media/catalog/5e142e0874277Audi_Q3_2020_front.jpg,Audi Q3,145000,Spain,Premium Compact SUV,5-door,wagon,1.4TC I4 FWD,7A,150,250,6.2,16.1,8.9,200
AUDI,https://www.drivearabia.com/carprices/media/catalog/5a4371c082280Audi_Q3_2017_800_front.jpg,Audi Q3,125100,Spain,Premium Compact SUV,5-door,wagon,1.4TC I4 FWD,6A,150,250,6.2,16.1,8.9,200
AUDI,https://www.drivearabia.com/carprices/media/catalog/5f71ce439f070audi_q3_sportback_front_dubai_uae.jpg,Audi Q3 Sportback,145000,Spain,Premium Compact SUV,5-door,wagon,2.0TC I4 4WD,7A,180,320,7.5,13.3,7.6,207
AUDI,https://www.drivearabia.com/carprices/media/catalog/5f71ce439f070audi_q3_sportback_front_dubai_uae.jpg,Audi Q3 Sportback,145000,Spain,Premium Compact SUV,5-door,wagon,2.0TC I4 4WD,7A,180,320,7.5,13.3,7.6,207
AUDI,https://www.drivearabia.com/carprices/media/catalog/5f0c44b135253Audi_Q5_2021_front_dubai_uae.jpg,Audi Q5,200000,Germany,Premium Compact SUV,5-door,wagon,2.0TC I4 4WD,7A,252,370,6.8,14.7,6.3,237
AUDI,https://www.drivearabia.com/carprices/media/catalog/59f1a083b8dfe2018_audi_q5_front.jpg,Audi Q5,200000,Germany,Premium Compact SUV,5-door,wagon,2.0TC I4 4WD,7A,252,370,6.8,14.7,6.3,237
AUDI,https://www.drivearabia.com/carprices/media/catalog/59f1a083b8dfe2018_audi_q5_front.jpg,Audi Q5,185000,Germany,Premium Compact SUV,5-door,wagon,2.0TC I4 4WD,7A,252,370,6.8,14.7,6.3,237
AUDI,https://www.drivearabia.com/carprices/media/catalog/5d78ef87c9b0fAudi_Q7_2020_front.jpg,Audi Q7,275000,Slovakia,Luxury Midsize SUV,5-door,wagon,2.0T+E I4 4WD,8AM,248,370,7.5,13.3,7.8,228
AUDI,https://www.drivearabia.com/carprices/media/catalog/5d78ef87c9b0fAudi_Q7_2020_front.jpg,Audi Q7,275000,Slovakia,Luxury Midsize SUV,5-door,wagon,2.0T+E I4 4WD,8AM,248,370,7.5,13.3,7.8,228
AUDI,https://www.drivearabia.com/carprices/media/catalog/54915a4a864b0Audi_Q7_2015_front.jpg,Audi Q7,275000,Slovakia,Luxury Midsize SUV,5-door,wagon,3.0SC V6 4WD,8AM,333,440,7.7,13,6.1,244
AUDI,https://www.drivearabia.com/carprices/media/catalog/5b1918ae71ef5Audi_Q8_2019_front.jpg,Audi Q8,315000,Slovakia,Luxury Midsize SUV,5-door,wagon,3.0SC V6 4WD,8AM,333,440,7,14.3,5.6,250
